类别,分类器,precision,recall,f1-score,support
accuracy,<class 'sklearn.naive_bayes.GaussianNB'>,0.38055555555555554,0.38055555555555554,0.38055555555555554,0.38055555555555554
accuracy,<class 'sklearn.svm._classes.SVC'>,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.44166666666666665
accuracy,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.2916666666666667
accuracy,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222
macro avg,<class 'sklearn.naive_bayes.GaussianNB'>,0.33563882176773274,0.3680943188571515,0.33164587213680535,360.0
macro avg,<class 'sklearn.svm._classes.SVC'>,0.4564041058343303,0.43905685949640944,0.4157642169645057,360.0
macro avg,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.2981308324036521,0.2928228334887486,0.287231449035502,360.0
macro avg,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.46358868440481793,0.4693236753325594,0.45701612508518363,360.0
weighted avg,<class 'sklearn.naive_bayes.GaussianNB'>,0.3505579644516283,0.38055555555555554,0.3449349434166625,360.0
weighted avg,<class 'sklearn.svm._classes.SVC'>,0.4631062515316256,0.44166666666666665,0.4223591612969014,360.0
weighted avg,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.3080868925572078,0.2916666666666667,0.2913548688906064,360.0
weighted avg,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.4752866107172523,0.4722222222222222,0.46416577133841913,360.0
体育,<class 'sklearn.naive_bayes.GaussianNB'>,0.275,0.6470588235294118,0.3859649122807018,17.0
体育,<class 'sklearn.svm._classes.SVC'>,0.2702702702702703,0.5882352941176471,0.37037037037037035,17.0
体育,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.15384615384615385,0.23529411764705882,0.186046511627907,17.0
体育,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.20833333333333334,0.29411764705882354,0.24390243902439027,17.0
健康,<class 'sklearn.naive_bayes.GaussianNB'>,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0
健康,<class 'sklearn.svm._classes.SVC'>,0.8076923076923077,0.9545454545454546,0.875,22.0
健康,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.7083333333333334,0.7727272727272727,0.7391304347826088,22.0
健康,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0
军事,<class 'sklearn.naive_bayes.GaussianNB'>,0.23255813953488372,0.43478260869565216,0.30303030303030304,23.0
军事,<class 'sklearn.svm._classes.SVC'>,0.1935483870967742,0.2608695652173913,0.2222222222222222,23.0
